symbol,side_group,extra_delay_minutes,signal_utc,btc_signal_bps,gross_bps
1000PEPEUSDT,bear,0,2026-07-07 14:36:00+00:00,-53.846784612563425,-9.772231827407385
1000PEPEUSDT,bear,0,2026-07-08 01:37:00+00:00,-38.353917266764626,-15.267175572519776
1000PEPEUSDT,bear,0,2026-07-08 08:17:00+00:00,-31.539099418136374,41.89568359149965
1000PEPEUSDT,bear,0,2026-07-08 14:46:00+00:00,-27.847441300234976,-17.490671641791078
1000PEPEUSDT,bear,0,2026-07-09 01:41:00+00:00,-28.967242234383406,17.025887087411817
1000PEPEUSDT,bear,0,2026-07-09 14:16:00+00:00,-29.601484650374488,22.20605689344901
1000PEPEUSDT,bear,0,2026-07-10 14:33:00+00:00,-51.930973410012626,-29.123350291233585
1000PEPEUSDT,bear,0,2026-07-11 15:38:00+00:00,-35.11933980936632,-14.014157892845436
1000PEPEUSDT,bear,0,2026-07-13 01:10:00+00:00,-28.47347510874343,-24.56381172560862
1000PEPEUSDT,bear,0,2026-07-13 01:18:00+00:00,-26.49763643745473,-13.005780346819762
1000PEPEUSDT,bear,0,2026-07-13 14:17:00+00:00,-32.16126099163219,-34.246575342467
1000PEPEUSDT,bear,0,2026-07-13 17:37:00+00:00,-27.35732966559823,-61.04868913857642
1000PEPEUSDT,bear,0,2026-07-14 14:05:00+00:00,-26.779580918585566,-33.20285195023143
1000PEPEUSDT,bear,0,2026-07-15 13:26:00+00:00,-27.148431321784017,22.71788517141715
1000PEPEUSDT,bear,0,2026-07-15 17:49:00+00:00,-29.34548200506981,-15.409424834258445
1000PEPEUSDT,bear,0,2026-07-20 05:13:00+00:00,-26.598701009223902,-23.275497249259924
1000PEPEUSDT,bear,0,2026-07-20 08:38:00+00:00,-27.438333768152745,-26.66097899114872
1000PEPEUSDT,bear,0,2026-07-21 17:47:00+00:00,-66.08028381320352,-66.73421613500707
1000PEPEUSDT,bear,0,2026-07-23 07:12:00+00:00,-35.713532972785345,-5.9990119274466736
1000PEPEUSDT,bear,0,2026-07-27 14:21:00+00:00,-28.014515785805827,15.47466864024738
1000PEPEUSDT,bear,0,2026-07-27 14:31:00+00:00,-42.62263532599064,-25.180345719340025
1000PEPEUSDT,bear,0,2026-07-27 22:41:00+00:00,-47.31903117674463,48.83153121730044
1000PEPEUSDT,bear,0,2026-07-27 22:58:00+00:00,-32.55150075807123,9.183060784798691
1000PEPEUSDT,bear,0,2026-07-29 18:32:00+00:00,-29.90644764503614,17.48761294083412
1000PEPEUSDT,bear,0,2026-07-29 19:48:00+00:00,-30.1797810916149,-2.211247880887779
1000PEPEUSDT,bear,0,2026-07-31 14:07:00+00:00,-41.60368785768753,-60.123913920153704
1000PEPEUSDT,bear,1,2026-07-01 01:11:00+00:00,-31.026591709881757,85.89276418532022
1000PEPEUSDT,bear,1,2026-07-01 22:30:00+00:00,-31.393988674253137,28.345390701017827
1000PEPEUSDT,bear,1,2026-07-02 09:46:00+00:00,-28.830231669640938,-31.172069825435855
1000PEPEUSDT,bear,1,2026-07-02 13:29:00+00:00,-29.01448387039096,-105.6727421667003
1000PEPEUSDT,bear,1,2026-07-02 15:37:00+00:00,-32.92390846873161,-0.8174943797256695
1000PEPEUSDT,bear,1,2026-07-02 16:16:00+00:00,-28.30381295147788,1.6432503491914385
1000PEPEUSDT,bear,1,2026-07-02 16:28:00+00:00,-41.67314919893528,-17.364700045479076
1000PEPEUSDT,bear,1,2026-07-02 19:56:00+00:00,-27.759364270956155,26.325531652336977
1000PEPEUSDT,bear,1,2026-07-06 11:58:00+00:00,-43.318422596954065,196.28291556482603
1000PEPEUSDT,bear,1,2026-07-07 14:36:00+00:00,-53.846784612563425,-19.221347001847633
1000PEPEUSDT,bear,1,2026-07-08 01:37:00+00:00,-38.353917266764626,-37.03279502156987
1000PEPEUSDT,bear,1,2026-07-08 08:17:00+00:00,-31.539099418136374,-0.3856239395361172
1000PEPEUSDT,bear,1,2026-07-08 14:46:00+00:00,-27.847441300234976,-28.7568491819834
1000PEPEUSDT,bear,1,2026-07-09 01:41:00+00:00,-28.967242234383406,0.7746833481814264
1000PEPEUSDT,bear,1,2026-07-09 14:16:00+00:00,-29.601484650374488,28.319938767699114
1000PEPEUSDT,bear,1,2026-07-10 14:33:00+00:00,-51.930973410012626,-1.468051528608072
1000PEPEUSDT,bear,1,2026-07-11 15:38:00+00:00,-35.11933980936632,-5.024223936838101
1000PEPEUSDT,bear,1,2026-07-13 01:10:00+00:00,-28.47347510874343,-61.0328638497637
